iter	MultiClass
225	0.3074159707
226	0.3059027297
227	0.3041263693
228	0.3029399477
229	0.3014085243
230	0.2996819852
231	0.2981687407
232	0.2967962025
233	0.2951903119
234	0.2937216078
235	0.2927369349
236	0.2916001419
237	0.2902870177
238	0.2889387207
239	0.2881594469
240	0.2866847056
241	0.2854601453
242	0.2842332297
243	0.2829806625
244	0.2813661443
245	0.2801661648
246	0.2790570113
247	0.2779369624
248	0.2766226389
249	0.2756793138
250	0.2744488576
251	0.2732299908
252	0.2722181792
253	0.2710723253
254	0.2702544645
255	0.2690261717
256	0.2677945307
257	0.2667748826
258	0.2661536899
259	0.2649348456
260	0.263803514
261	0.2625809447
262	0.2613550005
263	0.2603922003
264	0.2594643549
265	0.2584720199
266	0.2573192697
267	0.2562667097
268	0.2553654261
269	0.2541260829
270	0.2532267796
271	0.2521942975
272	0.2510655502
273	0.2499281504
274	0.2486632736
275	0.2474935975
276	0.2463569362
277	0.245127687
278	0.2439065424
279	0.2433005585
280	0.2425534788
281	0.2417674896
282	0.2407538171
283	0.2396928732
284	0.2389276456
285	0.2380010133
286	0.2369615833
287	0.235874592
288	0.2349017545
289	0.2338842552
290	0.2328906313
291	0.2319514388
292	0.2311282583
293	0.2298998036
294	0.2288910232
295	0.2279530257
296	0.227252733
297	0.2262368036
298	0.2253915992
299	0.2246078477
300	0.2239401553
301	0.2231278266
302	0.2223210799
303	0.2213120045
304	0.2205751387
305	0.2198221783
306	0.2191604403
307	0.2182538308
308	0.2175063487
309	0.216826011
310	0.215878187
311	0.2150255986
312	0.214306832
313	0.2133970292
314	0.2125198541
315	0.212298921
316	0.2116619944
317	0.2109460966
318	0.2101481717
319	0.2097087809
320	0.2088147669
321	0.2080931022
322	0.2072675874
323	0.2064723817
324	0.2058182402
325	0.2052875557
326	0.2044879426
327	0.2036223688
328	0.2030417534
329	0.2022403744
330	0.2016671987
331	0.2008719268
332	0.2002815522
333	0.1995559365
334	0.1989438061
335	0.1983296566
336	0.1976698405
337	0.1971461945
338	0.1965955004
339	0.1958570081
340	0.1950376017
341	0.1943405337
342	0.1937223215
343	0.192948209
344	0.1925101378
345	0.1919657248
346	0.1912974488
347	0.1907117682
348	0.1902906308
349	0.1896602641
350	0.1889850147
351	0.1883384815
352	0.1877852914
353	0.1872159568
354	0.1866936138
355	0.1859369103
356	0.1852647472
357	0.1846071122
358	0.1841308916
359	0.1834703235
360	0.1829224636
361	0.18240062
362	0.1817424918
363	0.1811370223
364	0.1807517758
365	0.1805142432
366	0.1798418629
367	0.1791841381
368	0.1784880434
369	0.1779872949
370	0.1773776212
371	0.1767015264
372	0.1760853109
373	0.1756152147
374	0.1751150276
375	0.1744427343
376	0.1739044398
377	0.1733925084
378	0.1729226126
379	0.1722904746
380	0.171755894
381	0.1711564347
382	0.1705856984
383	0.1700305334
384	0.1694842495
385	0.1688826441
386	0.1683867323
387	0.167691195
388	0.1671976378
389	0.166595664
390	0.1660145579
391	0.1654940486
392	0.1649746936
393	0.1645234623
394	0.1640683734
395	0.1637055009
396	0.1632922438
397	0.1628759789
398	0.1623696985
399	0.1621188119
400	0.1616265528
401	0.1611133056
402	0.1605610821
403	0.160117907
404	0.1596026364
405	0.1592279104
406	0.1586276682
407	0.1581820694
408	0.1576004605
409	0.1572203392
410	0.1570993516
411	0.1566118671
412	0.1561553159
413	0.1557143189
414	0.1551597724
415	0.1546787706
416	0.1542432033
417	0.1537495499
418	0.15325312
419	0.1527280716
420	0.1522542589
421	0.1518577376
422	0.1513844349
423	0.1509467259
424	0.1504461552
425	0.1498699248
426	0.1493908593
427	0.1489191811
428	0.1484494586
429	0.1479722466
430	0.1474899627
431	0.1471179316
432	0.1468116046
433	0.1465053524
434	0.1460686794
435	0.1456773579
436	0.1452789187
437	0.144873805
438	0.1444538315
439	0.1440045754
440	0.1436380569
441	0.1431896111
442	0.1427846776
443	0.1423711235
444	0.1420385761
445	0.1416282209
446	0.1412287626
447	0.1408275364
448	0.1404392043
449	0.1400148459
450	0.1396349045
451	0.1392305868
452	0.1388991729
453	0.1384975978
454	0.1381174653
455	0.1377921562
456	0.1375121278
457	0.1371938383
458	0.1368337505
459	0.1364486479
460	0.1361508111
461	0.1359086215
462	0.1355505894
463	0.1351848258
464	0.1348602928
465	0.1346024221
466	0.1343405437
467	0.1339544852
468	0.1337349749
469	0.1334548131
470	0.1330883842
471	0.1327523851
472	0.132429637
473	0.1321038927
474	0.1318084464
475	0.1315123551
476	0.1311571367
477	0.1308096181
478	0.1304995346
479	0.1301382003
480	0.1298818791
481	0.1295013711
482	0.129140734
483	0.1288125329
484	0.1285155764
485	0.1281175063
486	0.1278616258
487	0.127517577
488	0.1272423368
489	0.1269651296
490	0.126595903
491	0.1263306309
492	0.1260524655
493	0.1257385635
494	0.1254423209
495	0.1251474555
496	0.124805837
497	0.1244914383
498	0.124209621
499	0.1238479129
